CarTypes,RetailPrice,Dealer.Cost,Engine.Size,Cyl,HP,City.MPG,Hwy.MPG,Weight,Wheel.Base,Len,Width
1,regular,23506.57229,21707.5,2.601807229,4.963855422,176.3614458,23.37231535,31.0250131,3123.277108,105.3575146,184.1702032,69.88906627
2,Sports Car,35128.125,32127,2.8,5.75,244.125,19.375,26.875,3282.25,102.25,176.625,71
3,SUV,29922.59091,27366.77273,3.9,6.545454545,231.4545455,16.54545455,21.13636364,4217.863636,111.9545455,189.6363636,73.81818182
4,Wagon,22827.14286,21163.92857,2.357142857,4.714285714,161.2142857,22.93495514,30.27898551,3121.857143,103.9285714,181.2857143,69.07142857
5,Minivan,27491.5625,25104.6875,3.43125,5.875,206.8125,18.25,25.1875,4130.4375,117.875,197.5625,76
6,AWD,37840.6,34782.32,3.044,5.88,226.36,18.56,25.8,3664.96,107.36,184.36,70.08
7,AWD & Sport Car,43747,38997.6,2.62,4.8,263.4,19.2,26.4,3172,96.8,168.2,71.2
8,AWD & Suv,37608.36842,34090.84211,3.931578947,6.578947368,238.3421053,16.10761505,20.49752098,4575.605263,110.5789474,187.2631579,74.15789474
9,AWD & Wagon,35202.44444,32448.11111,3.222222222,5.888888889,228.2222222,18.77777778,25.22222222,3708.777778,106,182.3333333,70.55555556
10,AWD & Minivan,30141.66667,27406.66667,3.833333333,6,196.6666667,16.66666667,22,4492,117,197.3333333,76.33333333
11,AWD & Pickup,29613.83333,26699.25,4.55,6.666666667,246,15.67411433,20.07548309,4640.083333,126.5,185.1268657,71.2925
12,RWD,45489.11111,41690.77778,3.788888889,7.111111111,260.8518519,18.03703704,25.51851852,3773.148148,112.7222222,192.8703704,72.25925926
13,RWD & Sport Car,58783.5,53421.69444,3.7,6.655972874,295.9444444,18.42163178,25.43921095,3315.861111,99.91666667,173.25,70.82180556
14,RWD & Wagon,32687.71429,30148.71429,3.014285714,5.714285714,215.5714286,19.71428571,26,3725.571429,109.2857143,184.8571429,72.28571429
15,RWD & Minivan,25640,23215,4.3,6,190,16,20,4309,111,190,78
16,RWD & Pickup,20268.91667,18534.25,3.608333333,5.833333333,203.6666667,18,22.75,3861.416667,119.5,185.1268657,71.2925
